"Timestamp","Submission Pin","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10"
"2024/03/27 6:07:21 PM EST","19785474","7368787","24","73","","","","","","",""
"2024/03/27 6:13:15 PM EST","19785474","","","","11","","","","1998","",""
"2024/03/27 6:16:47 PM EST","49287537","7368787","215","73","11","624","","","","",""
"2024/03/27 6:21:09 PM EST","37972877","7368787","24","73","11","624","34","206","1198","78","50"
"2024/03/27 6:21:27 PM EST","49287537","7368787","215","73","11","624","","206","1998","",""
"2024/03/27 6:22:13 PM EST","19785474","","","","","624","34","206","","78","3"
"2024/03/27 6:26:05 PM EST","54878528","7368787","24","73","11","624","34","206","1998","78","4"
"2024/03/27 6:26:22 PM EST","47716432","7368787","24","73","11","624","34","206","1998","78","4"
"2024/03/27 6:27:12 PM EST","49287537","7368787","215","73","11","624","","206","1998","78",""
"2024/03/27 6:29:39 PM EST","49287537","7368787","215","73","11","624","34","206","1998","78","4"
"2024/03/27 6:30:11 PM EST","78915672","7368787","24","73","11","624","34","206","1998","78","100"
"2024/03/27 6:34:26 PM EST","37972877","7368787","24","73","11","624","34","206","1998","78","4"
"2024/03/27 6:38:58 PM EST","63343996","7368791","24","73","11","624","3","206","1998","78","100"
"2024/03/27 6:39:53 PM EST","19785474","","","","","","","","","","100"
"2024/03/27 6:44:41 PM EST","22785329","7368787","10","73","11","1248","34","206","1998","78",""
"2024/03/27 6:44:44 PM EST","66219227","7368787","204","73","","","","","","",""
"2024/03/27 6:45:20 PM EST","19785474","7368787","24","73","11","624","34","206","1998","28","100"
"2024/03/27 6:46:03 PM EST","22785329","7368787","10","73","11","1248","34","206","1998","78","1"
"2024/03/27 6:46:35 PM EST","19785474","7368787","24","73","11","624","34","206","19998","28","41"
"2024/03/27 6:47:40 PM EST","19785474","7368787","24","73","11","624","34","206","1998","28","4"
"2024/03/27 6:47:59 PM EST","66219227","7368787","204","73","","","","","","78",""
"2024/03/27 6:49:29 PM EST","22785329","7368787","10","73","11","1248","34","206","1998","78","100"
"2024/03/27 6:49:38 PM EST","21886983","7368787","24","73","11","624","","206","1998","",""
"2024/03/27 6:50:12 PM EST","36255951","7368787","23","73","","","","","1998","",""